Name,Rating,Country,Category,Price,ABV,Age,Brand
Tyrconnell 10 Year Old Single Malt Madeira Cask Finish Irish Whiskey,100,Ireland,Single Malt,72,46.0,10,Tyrconnell
Dalmore 18 Year Old Single Highland Malt Scotch Whisky,100,Scotland,Highlands,165,43.0,18,Dalmore
Powers 12 Year Old Irish Whiskey,99,Ireland,Blended,35,40.0,12,Powers
Suntory The Yamazaki 18 Year Old Single Malt Whiskey,99,Japan,Single Malt,120,43.0,18,Suntory
Glenmorangie 10 Year Old Single Malt Scotch Whisky,99,Scotland,Highlands,42,40.0,10,Glenmorangie
Glenmorangie Single Malt Scotch,99,Scotland,Highlands,80,46.0,10,Glenmorangie
Bunnahabhain 18 Year Old Single Malt Scotch,99,Scotland,Islay,92,46.3,18,Bunnahabhain
Laphroaig 18 Year Old Single Malt Scotch,99,Scotland,Islay,107,48.0,18,Laphroaig
Cardhu 12 Year Old Single Malt Scotch,99,Scotland,Highlands,45,40.0,12,Cardhu
Aberlour 18 Year Old Single Malt Scotch,99,Scotland,Speyside,100,43.0,18,Aberlour
Balvenie 14 Year Old Single Malt Scotch,84,Scotland,Speyside,69,44.303636363636365,9,Balvenie
Caol Ila Single Malt Scotch Distillers Edition,99,Scotland,Islay,70,43.0,10,Caol Ila
Kingdom 17 Year Old Scotch,99,Scotland,Blended,50,40.0,17,Kingdom
Balvenie 12 Year Old Doublewood Single Malt Scotch,99,Scotland,Speyside,45,40.0,12,Balvenie
Glen Garioch Founders Reserve Scotch,84,Scotland,Highlands,69,44.303636363636365,9,Glen Garioch
Bowmore 15 Year Old Single Malt Scotch,99,Scotland,Islay,70,43.0,15,Bowmore
Rebel Yell Kentucky Straight Bourbon Whiskey,99,USA,Bourbon,11,40.0,8,Rebel Yell
Pappy Van Winkle 15 Year Old Family Reserve Whiskey,99,USA,Bourbon,58,53.5,15,Pappy Van Winkle
Thomas H. Handy Kentucky Straight Rye Whiskey,84,USA,Rye,69,44.303636363636365,9,Thomas H. Handy
Ardbeg Uigeadail,99,Scotland,Islay,80,54.2,10,Ardbeg
Noah's Mill Bourbon,99,USA,Bourbon,60,57.15,15,Noah's Mill
Parker's Heritage Bourbon,99,USA,Bourbon,80,62.0,15,Parker's Heritage
Glenlivet 21 Year Old Single Malt Scotch,97,Scotland,Speyside,123,40.0,21,Glenlivet
Macallan 21 Year Old Fine Oak Scotch Whisky,96,Scotland,Speyside,220,43.0,21,Macallan
George T. Stagg Kentucky Straight Bourbon Whiskey,96,USA,Bourbon,70,45.0,8,George T. Stagg
Parker's Heritage Collection 10 Year Old Wheated Bourbon,96,USA,Bourbon,80,63.0,10,Parker's Heritage
Rowan's Creek Bourbon,96,USA,Bourbon,50,50.05,12,Rowan's Creek
Woodford Reserve Master's Collection Bourbon,96,USA,Bourbon,80,46.2,12,Woodford Reserve
Lagavulin 21 Scotch,96,Scotland,Islay,300,56.5,21,Lagavulin
Highland Park 30 Scotch,96,Scotland,Islands,365,48.1,30,Highland Park
King Car Single Malt Whisky,96,Taiwan,Single Malt,84,46.0,7,Kavalan
Rye Dog Whiskey,96,USA,Rye,65,50.0,0,Delaware Phoenix
Thirteenth Colony Southern Corn Whiskey,84,USA,Corn,69,44.303636363636365,9,Thirteen Colony
Glenfiddich 12 Year Old Single Malt Scotch,96,Scotland,Speyside,43,40.0,12,Glenfiddich
Oban 15 Year Old Single Malt Scotch,84,Scotland,Highlands,69,44.303636363636365,9,Oban
Old Pulteney 30 Year Old Single Malt Scotch,96,Scotland,Highlands,400,44.0,30,Old Pulteney
Tomatin 18 Year Old Single Malt Scotch,96,Scotland,Speyside,62,46.0,18,Tomatin
Glengoyne 17 Year Old Single Malt Scotch,96,Scotland,Highlands,73,43.0,17,Glengoyne
Aberfeldy 12 Year Old Single Malt Scotch,96,Scotland,Highlands,30,40.0,12,Aberfeldy
Buchanan's 18 Year Old Special Reserve Scotch,96,Scotland,Blended,79,43.0,18,Buchanan
Bunnahabhain 12 Year Old Single Malt Scotch,84,Scotland,Islay,69,44.303636363636365,9,Bunnahabhain
Buchanan's Master Blended Scotch,96,Scotland,Blended,54,40.0,6,Buchanan
Lagavulin 12 Year Old Single Malt Scotch,96,Scotland,Islay,90,57.8,12,Lagavulin
Tomatin 15 Year Old Single Malt Scotch,96,Scotland,Speyside,48,43.0,15,Tomatin
Haig Supreme Blended Scotch,96,Scotland,Blended,25,40.0,4,Haig
Kingdom 12 Year Old Scotch,96,Scotland,Blended,30,40.0,12,Kingdom
William Larue Weller Bourbon,96,USA,Bourbon,65,65.0,8,William Larue Weller
Redbreast 12 Year Old Irish Whiskey,96,Ireland,Pure Pot Still,40,40.0,12,Redbreast
Glenlivet Nadurra 16 Year Old Cask Strength Single Malt Scotch Whisky,96,Scotland,Speyside,65,48.0,16,Glenlivet
Chivas Regal 18 Year Old Blended Scotch Whisky,96,Scotland,Blended,64,40.0,18,Chivas Regal
Hudson Baby Bourbon,96,USA,Bourbon,40,46.0,10,Hudson
Old Pulteney 21 Year Old Single Malt Scotch Whisky,95,Scotland,Highlands,120,46.0,21,Old Pulteney
Glen Grant 10 Year Old Single Malt Scotch,95,Scotland,Speyside,47,40.0,10,Glen Grant
Glenmorangie 12 Year Old Single Malt Scotch,95,Scotland,Highlands,55,46.0,12,Glenmorangie
Tobermory 15 Year Old Single Malt Scotch,94,Scotland,Islands,108,46.3,15,Tobermory
Glenmorangie 18 Year Old Single Malt Scotch,94,Scotland,Highlands,107,43.0,18,Glenmorangie
Ancnoc 16 Year Old Single Malt Scotch,94,Scotland,Highlands,60,46.0,16,Ancnoc
Pappy Van Winkle 20 year old Family Reserve Kentucky Straight Bourbon Whiskey,94,USA,Bourbon,93,45.2,20,Pappy Van Winkle
Black Maple Hill 21 Cask 7 Bourbon,94,USA,Bourbon,95,40.0,21,Black Maple Hill
Abraham Bowman Rye Whiskey,94,USA,Rye,70,68.2,9,Abraham Bowman
Isle of Jura 21 Year Old Single Malt Scotch,94,Scotland,Islands,140,44.0,21,Isle of Jura
Royal Salute 21 Year Old Scotch,94,Scotland,Speyside,175,40.0,21,Royal Salute
Ardbeg Airigh Nam Beist Scotch,84,Scotland,Islay,69,44.303636363636365,9,Ardbeg
Aberfeldy 21 Year Old Single Malt Scotch,94,Scotland,Highlands,150,40.0,21,Aberfeldy
Talisker 1992 Single Malt Scotch,94,Scotland,Islands,68,45.82,12,Talisker
Highland Park 18 Scotch,94,Scotland,Islands,80,43.0,18,Highland Park
Bowmore 25 Year Old Scotch,94,Scotland,Islay,190,43.0,25,Bowmore
Bowmore 12 Year Old Single Malt Scotch,94,Scotland,Islay,45,43.0,12,Bowmore
Wild Turkey Kentucky Spirit Bourbon,94,USA,Bourbon,42,50.5,2,Wild Turkey
Michael Collins 10 Year Old Single Malt Irish Whiskey,93,Ireland,Single Malt,39,40.0,10,Michael Collins
Glenfiddich 21 Year Old Single Malt Scotch,93,Scotland,Speyside,133,40.0,21,Glenfiddich
Wild Turkey Russel's Reserve Bourbon,84,USA,Bourbon,69,44.303636363636365,9,Wild Turkey
Four Roses Small Batch Kentucky Straight Bourbon Whiskey,93,USA,Bourbon,32,45.0,4,Four Roses
Redbreast 15 Year Old Irish Whiskey,92,Ireland,Pure Pot Still,67,46.0,15,Redbreast
Old Pulteney 17 Year Old Single Malt Scotch,92,Scotland,Highlands,94,46.0,17,Old Pulteney
Forty Creek Confederation Oak Canadian Whiskey,92,Canada,Blended,70,40.0,8,Forty Creek
Old Pulteney 12 Year Old Single Malt Scotch,92,Scotland,Highlands,40,40.0,12,Old Pulteney
Deanston 12 Year Old Single Malt Scotch,84,Scotland,Highlands,69,44.303636363636365,9,Deanston
Glenlivet 15 Year Old Single Malt Scotch,92,Scotland,Speyside,45,40.0,15,Glenlivet
Eagle Rare 17 Year Old Single Barrel Kentucky Straight Bourbon,92,USA,Bourbon,57,45.0,17,Eagle
Balblair Single Malt Scotch,92,Scotland,Highlands,109,43.0,17,Balblair
Laphroaig Quarter Cask Single Malt Scotch,92,Scotland,Islay,47,48.0,1,Laphroaig
Bushmills 16 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,64,40.0,16,Bushmills
Midleton Very Rare Irish Whiskey,84,Ireland,Blended,69,44.303636363636365,9,Midleton
Isle of Jura Prophecy Scotch,91,Scotland,Islands,75,46.0,1,Isle of Jura
Glenrothes 1975 Single Malt Scotch,91,Scotland,Speyside,400,43.0,31,Glenrothes
Bushmills 21 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,120,40.0,21,Bushmills
Amrut Indian Single Malt Whisky Cask Strength,91,India,Single Malt,50,61.8,1,Amrut
Jameson Rarest Reserve Whiskey,90,Ireland,Blended,256,46.0,18,Jameson
Highland Park 25-Year-Old Orkney Islands Single Malt Whisky,90,Scotland,Islands,240,48.1,25,Highland Park
Buchanan's Red Seal Blended Scotch,90,Scotland,Blended,140,40.0,1,Buchanan
Aberlour A'Bunadh Batch 21 Scotch,90,Scotland,Speyside,63,59.5,21,Aberlour
Glenfiddich 18 Year Old Single Malt Scotch,90,Scotland,Speyside,79,43.0,18,Glenfiddich
Macallan 15 Year Old Fine Oak Scotch,90,Scotland,Speyside,70,43.0,15,Macallan
Suntory Hakushu 12 Year Old Single Malt Whiskey,90,Japan,Single Malt,45,43.0,12,Suntory
Wild Turkey Rare Breed Bourbon,90,USA,Bourbon,37,54.1,1,Wild Turkey
Glenlivet 18 Year Old Single Malt Scotch Whisky,90,Scotland,Speyside,70,43.0,18,Glenlivet
Glenfiddich 15 Year Old Single Malt Scotch,84,Scotland,Speyside,69,44.303636363636365,9,Glenfiddich
Jefferson's Presidential Select,90,USA,Bourbon,90,47.0,17,Jefferson
Speyburn 10 Year Old Single Malt Scotch,90,Scotland,Speyside,29,43.0,10,Speyburn
Aberlour 16 Year Old Single Malt Scotch,84,Scotland,Speyside,69,44.303636363636365,9,Aberlour
The Singleton of Glendullan 12 Year Old Single Malt Scotch,89,Scotland,Speyside,35,40.0,12,Glendullan
"Whyte & Mackay ""Original"" 40 Year Old Aged Blended Scotch Whisky",89,Scotland,Blended,20,40.0,10,Whyte & Mackay
Dalmore 1974 Single Highland Malt Scotch Whisky,89,Scotland,Highlands,250,42.0,1,Dalmore
Chivas Regal 25 Year Old Scotch,89,Scotland,Blended,260,40.0,25,Chivas Regal
Jefferson's Select 18 Year Old Bourbon Whiskey,89,USA,Bourbon,90,47.0,18,Jefferson
Glenlivet XXV Single Malt Scotch Whisky,89,Scotland,Speyside,305,43.0,25,Glenlivet
Russell's Reserve 6 Year Old Straight Rye Whiskey,88,USA,Rye,27,45.0,6,Russell's
Balcones True Blue Cask Strength Corn Whiskey,88,USA,Corn,59,63.0,1,Balcones
Connemara Turf Mor Irish Whiskey,88,Ireland,Single Malt,75,58.0,1,Connemara
Downslope Double Diamond Whiskey,88,USA,Blended,32,40.0,1,Downslope
