Name,Rating,Country,Category,Price,ABV,Age,Brand,Rating_impute,Price_impute,ABV_impute,Age_impute
Tyrconnell 10 Year Old Single Malt Madeira Cask Finish Irish Whiskey,100.0,Ireland,Single Malt,72.0,46.0,10.0,Tyrconnell,0.0,0.0,0.0,0.0
Dalmore 18 Year Old Single Highland Malt Scotch Whisky,100.0,Scotland,Highlands,165.0,43.0,18.0,Dalmore,0.0,0.0,0.0,0.0
Powers 12 Year Old Irish Whiskey,99.0,Ireland,Blended,35.0,40.0,12.0,Powers,0.0,0.0,0.0,0.0
Suntory The Yamazaki 18 Year Old Single Malt Whiskey,99.0,Japan,Single Malt,120.0,43.0,18.0,Suntory,0.0,0.0,0.0,0.0
Glenmorangie 10 Year Old Single Malt Scotch Whisky,99.0,Scotland,Highlands,42.0,40.0,10.0,Glenmorangie,0.0,0.0,0.0,0.0
Glenmorangie Single Malt Scotch,99.0,Scotland,Highlands,80.0,46.0,10.0,Glenmorangie,0.0,0.0,0.0,0.0
Bunnahabhain 18 Year Old Single Malt Scotch,99.0,Scotland,Islay,92.0,46.3,18.0,Bunnahabhain,0.0,0.0,0.0,0.0
Laphroaig 18 Year Old Single Malt Scotch,99.0,Scotland,Islay,107.0,48.0,18.0,Laphroaig,0.0,0.0,0.0,0.0
Cardhu 12 Year Old Single Malt Scotch,83.96739130434783,Scotland,Highlands,45.0,40.0,12.0,Cardhu,1.0,0.0,0.0,0.0
Aberlour 18 Year Old Single Malt Scotch,99.0,Scotland,Speyside,100.0,43.0,18.0,Aberlour,0.0,0.0,0.0,0.0
Balvenie 14 Year Old Single Malt Scotch,99.0,Scotland,Speyside,60.0,43.0,14.0,Balvenie,0.0,0.0,0.0,0.0
Caol Ila Single Malt Scotch Distillers Edition,99.0,Scotland,Islay,70.0,43.0,10.0,Caol Ila,0.0,0.0,0.0,0.0
Kingdom 17 Year Old Scotch,99.0,Scotland,Blended,50.0,40.0,17.0,Kingdom,0.0,0.0,0.0,0.0
Balvenie 12 Year Old Doublewood Single Malt Scotch,99.0,Scotland,Speyside,67.7032967032967,40.0,12.0,Balvenie,0.0,1.0,0.0,0.0
Glen Garioch Founders Reserve Scotch,99.0,Scotland,Highlands,45.0,48.0,8.0,Glen Garioch,0.0,0.0,0.0,0.0
Bowmore 15 Year Old Single Malt Scotch,99.0,Scotland,Islay,70.0,43.0,15.0,Bowmore,0.0,0.0,0.0,0.0
Rebel Yell Kentucky Straight Bourbon Whiskey,99.0,USA,Bourbon,11.0,44.438534798534796,8.0,Rebel Yell,0.0,0.0,1.0,0.0
Pappy Van Winkle 15 Year Old Family Reserve Whiskey,99.0,USA,Bourbon,58.0,53.5,15.0,Pappy Van Winkle,0.0,0.0,0.0,0.0
Thomas H. Handy Kentucky Straight Rye Whiskey,99.0,USA,Rye,67.0,66.4,6.0,Thomas H. Handy,0.0,0.0,0.0,0.0
Ardbeg Uigeadail,99.0,Scotland,Islay,80.0,54.2,10.0,Ardbeg,0.0,0.0,0.0,0.0
Noah's Mill Bourbon,99.0,USA,Bourbon,60.0,57.15,15.0,Noah's Mill,0.0,0.0,0.0,0.0
Parker's Heritage Bourbon,99.0,USA,Bourbon,80.0,62.0,15.0,Parker's Heritage,0.0,0.0,0.0,0.0
Glenlivet 21 Year Old Single Malt Scotch,97.0,Scotland,Speyside,123.0,40.0,21.0,Glenlivet,0.0,0.0,0.0,0.0
Macallan 21 Year Old Fine Oak Scotch Whisky,96.0,Scotland,Speyside,220.0,43.0,21.0,Macallan,0.0,0.0,0.0,0.0
George T. Stagg Kentucky Straight Bourbon Whiskey,96.0,USA,Bourbon,70.0,45.0,8.0,George T. Stagg,0.0,0.0,0.0,0.0
Parker's Heritage Collection 10 Year Old Wheated Bourbon,96.0,USA,Bourbon,80.0,63.0,10.0,Parker's Heritage,0.0,0.0,0.0,0.0
Rowan's Creek Bourbon,96.0,USA,Bourbon,50.0,50.05,12.0,Rowan's Creek,0.0,0.0,0.0,0.0
Woodford Reserve Master's Collection Bourbon,96.0,USA,Bourbon,80.0,46.2,12.0,Woodford Reserve,0.0,0.0,0.0,0.0
Lagavulin 21 Scotch,96.0,Scotland,Islay,300.0,56.5,21.0,Lagavulin,0.0,0.0,0.0,0.0
Highland Park 30 Scotch,96.0,Scotland,Islands,365.0,48.1,30.0,Highland Park,0.0,0.0,0.0,0.0
King Car Single Malt Whisky,96.0,Taiwan,Single Malt,84.0,44.438534798534796,7.0,Kavalan,0.0,0.0,1.0,0.0
Rye Dog Whiskey,96.0,USA,Rye,65.0,50.0,0.0,Delaware Phoenix,0.0,0.0,0.0,0.0
Thirteenth Colony Southern Corn Whiskey,96.0,USA,Corn,30.0,47.5,9.447272727272727,Thirteen Colony,0.0,0.0,0.0,1.0
Glenfiddich 12 Year Old Single Malt Scotch,96.0,Scotland,Speyside,43.0,40.0,12.0,Glenfiddich,0.0,0.0,0.0,0.0
Oban 15 Year Old Single Malt Scotch,96.0,Scotland,Highlands,89.0,43.0,15.0,Oban,0.0,0.0,0.0,0.0
Old Pulteney 30 Year Old Single Malt Scotch,96.0,Scotland,Highlands,400.0,44.0,30.0,Old Pulteney,0.0,0.0,0.0,0.0
Tomatin 18 Year Old Single Malt Scotch,96.0,Scotland,Speyside,62.0,46.0,18.0,Tomatin,0.0,0.0,0.0,0.0
Glengoyne 17 Year Old Single Malt Scotch,96.0,Scotland,Highlands,73.0,43.0,17.0,Glengoyne,0.0,0.0,0.0,0.0
Aberfeldy 12 Year Old Single Malt Scotch,83.96739130434783,Scotland,Highlands,30.0,40.0,12.0,Aberfeldy,1.0,0.0,0.0,0.0
Buchanan's 18 Year Old Special Reserve Scotch,96.0,Scotland,Blended,79.0,43.0,18.0,Buchanan,0.0,0.0,0.0,0.0
Bunnahabhain 12 Year Old Single Malt Scotch,96.0,Scotland,Islay,43.0,46.3,12.0,Bunnahabhain,0.0,0.0,0.0,0.0
Buchanan's Master Blended Scotch,96.0,Scotland,Blended,54.0,40.0,6.0,Buchanan,0.0,0.0,0.0,0.0
Lagavulin 12 Year Old Single Malt Scotch,96.0,Scotland,Islay,90.0,57.8,12.0,Lagavulin,0.0,0.0,0.0,0.0
Tomatin 15 Year Old Single Malt Scotch,96.0,Scotland,Speyside,48.0,43.0,15.0,Tomatin,0.0,0.0,0.0,0.0
Haig Supreme Blended Scotch,96.0,Scotland,Blended,25.0,40.0,4.0,Haig,0.0,0.0,0.0,0.0
Kingdom 12 Year Old Scotch,96.0,Scotland,Blended,30.0,40.0,12.0,Kingdom,0.0,0.0,0.0,0.0
William Larue Weller Bourbon,96.0,USA,Bourbon,65.0,65.0,8.0,William Larue Weller,0.0,0.0,0.0,0.0
Redbreast 12 Year Old Irish Whiskey,96.0,Ireland,Pure Pot Still,40.0,40.0,12.0,Redbreast,0.0,0.0,0.0,0.0
Glenlivet Nadurra 16 Year Old Cask Strength Single Malt Scotch Whisky,96.0,Scotland,Speyside,65.0,48.0,16.0,Glenlivet,0.0,0.0,0.0,0.0
Chivas Regal 18 Year Old Blended Scotch Whisky,96.0,Scotland,Blended,64.0,40.0,18.0,Chivas Regal,0.0,0.0,0.0,0.0
Hudson Baby Bourbon,96.0,USA,Bourbon,40.0,46.0,10.0,Hudson,0.0,0.0,0.0,0.0
Old Pulteney 21 Year Old Single Malt Scotch Whisky,95.0,Scotland,Highlands,120.0,46.0,21.0,Old Pulteney,0.0,0.0,0.0,0.0
Glen Grant 10 Year Old Single Malt Scotch,95.0,Scotland,Speyside,47.0,40.0,10.0,Glen Grant,0.0,0.0,0.0,0.0
Glenmorangie 12 Year Old Single Malt Scotch,95.0,Scotland,Highlands,55.0,46.0,12.0,Glenmorangie,0.0,0.0,0.0,0.0
Tobermory 15 Year Old Single Malt Scotch,94.0,Scotland,Islands,108.0,46.3,15.0,Tobermory,0.0,0.0,0.0,0.0
Glenmorangie 18 Year Old Single Malt Scotch,94.0,Scotland,Highlands,107.0,43.0,18.0,Glenmorangie,0.0,0.0,0.0,0.0
Ancnoc 16 Year Old Single Malt Scotch,94.0,Scotland,Highlands,60.0,46.0,16.0,Ancnoc,0.0,0.0,0.0,0.0
Pappy Van Winkle 20 year old Family Reserve Kentucky Straight Bourbon Whiskey,94.0,USA,Bourbon,93.0,45.2,20.0,Pappy Van Winkle,0.0,0.0,0.0,0.0
Black Maple Hill 21 Cask 7 Bourbon,94.0,USA,Bourbon,95.0,40.0,21.0,Black Maple Hill,0.0,0.0,0.0,0.0
Abraham Bowman Rye Whiskey,94.0,USA,Rye,70.0,68.2,9.0,Abraham Bowman,0.0,0.0,0.0,0.0
