ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
MSFT,1.82,59.64,-13.64,5.57,51.64,13.63,3212064000,1.155,0,0,0,1,0,0,0,0
IBM,1.31,108.62,16.4,10.358,24.12,30.69,1886360000,4.503,0,0,0,0,0,1,0,0
MO,0.25,49.68,30.95,5.125,13.11,27.22,1085389000,3.788,0,0,0,0,0,1,0,0
CVX,0.66,89.01,7.24,2.916,12.69,21.73,960854100,7.017,0,0,1,0,0,0,0,0
JPM,1.24,35.71,-5.54,8.302,26.87,6.65,709304100,1.329,0,0,1,0,0,0,0,0
PHA,0.34,40.09,-23.82,4.36,32,14.01,521779400,1.253,0,0,0,1,0,0,0,0
ONE,1.33,33.78,-5.84,3.97,24.64,8.57,452962778,1.371,0,0,0,0,0,0,1,0
HWP,1.41,17.4,-62.02,4.47,25.18,9.76,337565200,0.691,0,0,1,0,0,0,0,0
SUNW,1.98,9.86,-81.04,4.5,123.25,2.88,319401500,0.08,0,0,0,0,1,0,0,0
WB,0.98,29.26,-1.86,2.751,18.57,9.8,286570400,1.576,0,0,0,0,0,0,1,0
TGT,1.1,30.2,18.43,3.054,21.19,20.1,272304300,1.425,0,0,0,0,0,0,0,0
BA,0.78,33.75,-47.83,5.407,8.89,27.56,269314900,3.797,0,0,0,0,0,0,0,0
HI,0.94,54.49,10.36,2.941,13.83,23.99,251605400,3.94,0,0,0,0,0,0,0,1
KRB,1.5,29.3,-20.27,3.395,16.31,23.74,249571800,1.796,0,0,0,0,0,0,0,0
MET,1.06,27.22,2.23,2.436,14.91,9,199313000,1.825,1,0,0,0,0,0,0,0
AT,0.48,58.8,-2.61,0.75,13.85,25.75,182420500,4.247,0,0,0,0,0,0,1,0
COC,0.91,27.15,1.02,2.305,8.63,34.38,169652200,3.147,0,0,0,0,1,0,0,0
CAT,0.78,45.7,30.8,1.988,17.58,15.9,156888100,2.6,0,0,0,0,0,0,0,0
MCD,0.68,27.28,-12.53,4.624,19.78,20.08,149485462.6,1.379,0,0,0,0,0,0,1,1
EXC,-0.06,41.5,-31.69,2.695,11.59,19.33,133094200,3.58,0,0,0,0,0,0,0,0
GDT,0.33,42.33,-21.06,2.489,36.4,29.29,128822000,1.163,0,0,0,0,0,0,0,0
HIG,1.16,53.91,-30.66,1.186,12.34,13.67,128311200,4.37,0,0,0,0,0,0,0,0
CVS,0.51,31.62,-40.13,1.889,16.5,19.1,123807800,1.917,0,0,1,0,0,0,0,0
CAG,0.47,22.97,8.09,0.986,17.01,17.97,123410900,1.35,0,0,0,0,0,0,0,0
