ticker,ticker_original,currprice,roe,pctchg52wks,beta,peratio,eps,avgvol,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,eps_impute
VNQ,F,9.36,6.09,-2.92,0.97,13.92,0.54,36603920,0,0,0,0,1,0,0
NIU,PFE,36.46,19.49,-15.35,0.43,17.01,2.16,25785811,0,0,0,0,0,0,0
WYV,MSFT,135.83,42.41,20.42,0.97,26.93,8.04,24449374,0,0,0,0,0,0,1
UGT,C,68.96,9.26,-2.14,1.88,9.71,7.19,13820020,1,0,0,0,0,0,0
UGS,XOM,75.04,9.41,-11.84,1.27,17.79,4.15,10744490,1,0,0,0,0,0,0
CRI,QCOM,77.58,24.3,4.44,1.51,28.61,2.73,10720426,0,0,0,0,0,0,0
ZEF,KR,26.1,20.12,-11.3,0.76,12.92,2.01,10663955,0,0,0,0,0,0,0
NFK,CVS,63.3,8.9,-21.88,1,17.39,3.65,8171668,0,0,1,0,0,0,0
RGQ,GPS,18.96,26.91,-31.27,0.78,7.56,2.45,7081280,0,0,0,0,0,0,0
NNM,V,176.17,34.84,19.29,1.21,33.85,5.21,6793855,1,0,0,0,0,0,0
MVW,DVN,27.24,12.98,-28.5,1.27,3.28,8.56,6752279,1,0,0,0,0,0,0
MQR,ABT,83.91,9.21,-16.67,0.81,51.24,1.63,4935190,0,0,1,0,0,0,0
OJC,MTG,12.63,17.94,0.85,1.4,7.29,3.15,4589215,0,0,0,0,0,0,1
QJW,BBT,52.52,10.8,5.71,1.22,13.07,4.04,4476719,0,0,0,0,0,0,0
CZK,GIS,53.7,23.52,23.59,0.9,18.8,2.9,3954166,0,0,0,0,0,0,0
YWF,AFL,51.53,11.97,9.84,0.51,12.62,4.1,3281522,0,0,0,0,0,0,0
XHN,SLM,9.22,19.22,-18.03,1.69,7.67,2.47,3241073,0,0,0,0,0,0,1
BQU,AMGN,196.16,61.92,-4.08,0.8,15.42,12.6,3182452,0,0,0,0,0,0,1
ZUV,NI,29.18,2.88,12.04,0.31,87.18,0.33,2997801,0,0,0,0,1,0,0
JIG,MCD,209.3,44.43,31.46,0.33,27.24,7.61,2859987,0,0,0,0,0,1,0
GCA,CAH,47.5,22.01,-8.75,1.65,10.77,4.53,2853655,0,0,0,0,0,0,0
QVN,DUK,93.83,7.14,13.67,0.12,20.64,5.29,2708131,0,0,0,0,0,0,1
APQ,SYY,77.95,51.47,5.67,0.61,24.12,3.2,2675119,0,0,0,0,0,1,0
MRW,K,63.4,26.54,-13.06,0.77,11.66,2.49,2661749,0,0,0,0,1,0,0
SBP,A,77.32,23.02,11.93,1.28,23.07,3.34,2564639,0,0,0,0,0,0,0
RTI,ZION,44.45,11.3,-12.29,1.52,10.88,4.15,2364149,0,0,0,0,0,0,0
DNK,PEG,60.82,10.13,14.52,0.88,21.13,2.88,2271684,1,0,0,0,0,0,0
