name,ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
Abbott Laboratories,ABT,0.45,54.03,0.06,3.242,50.4,20.16,83823.6,1.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Products & Chemicals,APD,0.88,40.36,10.39,1.08,17.91,17.03,9174.837,2.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albertson's Inc.,ABS,0.17,32.29,37.4,1.392,31.17,7.47,13112.16,1.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Allergan, Inc.",AGN,0.38,74.02,-13.05,1.1840000000000002,47.82,23.72,9778.856,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Greetings,AM,0.96,14.52,-18.2,0.435,27.054775877931093,-20.05,922.064,-3.3289999999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AmerisourceBergen Corp.,ABC,0.6830903937409665,66.02,4.060282042119896,1.22,30.48,36.21,7171.4890000000005,2.166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AmSouth Bancorporation,ASO,0.71,17.56,24.32,0.61,12.52,18.38,6467.243,1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apache Corporation,APA,0.7,54.41,-1.07,1.797,7.99,24.54,6800.161999999999,6.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT&T Wireless Services,AWE,0.7723754026568956,14.13,-38.73,14.289000000000001,53.73,2.54,35750.6,0.263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Autodesk, Inc.",ADSK,1.37,34.8,57.29,0.34600000000000003,20.79,19.88,1882.68,1.6740000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avaya Inc.,AV,0.916764294442522,9.05,-21.3,1.778,10.572515450055919,-51.4,2594.635,-1.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ball Corporation,BLL,0.24,63.39,81.11,0.307,23.535620416876874,-15.38,1753.621,-3.4610000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
