name,ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
Pfizer Inc.,PFE,0.66,42.57,-2.97,12.171,37.71,42.5,268732.1,1.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulcan Materials Company,VMC,0.55,42.29,2.37,0.244,20.43,14.21,4280.932,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cinergy Corp.,CIN,-0.16,30.62,-1.62,0.7659999999999999,11.6,14.98,4871.611,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLA-Tencor Corporation,KLAC,2.52,41.38,33.48,10.267999999999999,18.78,23.83,7786.682,2.2030000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBAC Financial Group,ABK,0.67,48.81,-8.48,0.73,12.85,15.37,5153.994000000001,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehman Brothers Holdings,LEH,2.31,64.7,0.41,2.366,12.05,20.12,15418.66,5.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loews Corporation,LTR,0.41,52.73,14.01,1.0390000000000001,35.58,2.75,10378.32,1.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyco Int'l. Ltd. (NEW),TYC,1.24,49.6,-10.43,8.77,19.11,21.33,96080.85,2.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tribune Company,TRB,0.61,30.92,-17.27,0.895,1066.21,0.43,9197.865,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comerica Incorporated,CMA,0.79,47.41,12.632388542688261,1.271,11.94,15.61,8441.872,3.969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Weyerhaeuser Company,WY,1.1,51.36,11.8,0.682,20.11,8.21,11101.88,2.5540000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maytag Corporation,MYG,1.41,28.35,1.48,0.29100000000000004,34.03,38.77,2160.695,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campbell Soup Company,CPB,0.39,28.01,-4.65,0.428,18.14,8.595704953290593,11470.68,1.544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Centex Corporation,CTX,1.08,37.79,4.79,0.6890000000000001,6.79,20.71,2293.4,5.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sunoco, Inc.",SUN,0.6,38.82,32.72,0.525,5.94,32.05,3139.373,6.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Hancock Financial,JHF,0.9174784693219937,35.63,-6.25219111969427,0.8640000000000001,14.81,13.11,10824.14,2.406,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MBIA Inc.,MBI,0.85,47.4,-3.68,0.6990000000000001,13.08,13.02,7036.483,3.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
