ticker,Open,ROE (%),52-Week Change (%),52 Week Range,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),1y Target Est
AES,15.84,11.49,16.36,13.49 - 18.52,"4,943,719",10.61B,0.72,26.62,0.6,18.31
NI,29.18,2.88,12.04,24.19 - 30.34,"2,997,801",10.84B,0.31,87.18,0.33,29.77
ODP,1.67,1.46,-48.8,1.2300 - 3.8200,"5,396,811",928.84M,2.32,29.82,0.057,1.91
MTG,12.63,17.94,0.85,9.41 - 14.97,"4,589,215",4.61B,1.4,7.29,1.79,16.77
PFE,36.46,19.49,-15.35,33.97 - 46.47,"25,785,811",203.65B,0.43,17.01,2.16,42.64
KLAC,148.76,54.68,45.95,80.65 - 155.33,"1,561,912",24.08B,1.56,20.19,7.49,153.88
OMC,79.58,45.88,13.95,65.85 - 85.05,"1,795,853",17.19B,0.39,13.27,5.95,79.18
EMN,74.91,15.63,-23.59,61.22 - 100.51,"1,098,573",10.18B,1.39,11.44,6.5,86.67
IBM,142.56,47.98,-4.09,105.94 - 154.36,"3,778,844",126.17B,1.56,14.7,9.69,153.05
AAPL,217.73,52.69,0.76,142.00 - 233.47,"26,373,220",993.18B,1.08,18.66,11.78,224.24
MCD,209.3,N/A,31.46,156.56 - 221.93,"2,859,987",157.51B,0.33,27.24,7.61,232.29
BLL,72.76,13.81,60.73,42.24 - 81.88,"2,258,044",24.05B,0.52,47.47,1.53,76.33
TGT,107.25,27.34,21.99,60.15 - 110.94,"5,479,538",54.66B,0.62,17.71,6.04,110.15
CB,158.68,7.21,14.36,119.54 - 162.19,"1,576,322",72.26B,0.6,19.44,8.16,160
K,63.4,26.54,-13.06,51.34 - 74.98,"2,661,749",21.78B,0.77,25.65,2.49,62.82
WMT,116.54,17.51,21.1,85.78 - 118.19,"5,652,846",328.71B,0.65,26.14,4.42,118.67
AFL,51.53,11.97,9.84,41.45 - 57.18,"3,281,522",38.34B,0.51,12.62,4.1,51.8
R,53.04,11.51,-29.2,44.80 - 78.33,"511,126",2.85B,2.06,9.06,5.91,62.63
GPS,18.96,26.91,-31.27,15.11 - 31.39,"7,081,280",6.97B,0.78,7.56,2.45,19.84
KR,26.1,20.12,-11.3,20.70 - 31.98,"10,663,955",20.72B,0.76,12.92,2.01,26.96
ABT,83.91,9.21,21.85,65.44 - 88.76,"4,935,190",147.26B,0.81,51.24,1.63,94.32
CINF,112.56,14.36,43.91,71.01 - 115.56,"665,549",18.38B,0.55,15.09,7.45,102.75
WFC,48.46,12.09,-10.13,43.02 - 55.81,"19,720,512",215.41B,1.21,10.09,4.84,48.4
FMC,91.04,24.98,22.04,60.16 - 92.13,"898,749",11.87B,1.17,24.65,3.69,99.37
NUE,52.3,22.81,-17.29,46.10 - 66.03,"2,128,777",16.06B,1.64,7.46,7.1,59.46
G,39.23,19.95,30.03,25.48 - 44.55,"1,223,973",7.51B,1.06,26.62,1.48,45.55
BK,46.38,9.48,-9.14,40.52 - 54.27,"5,003,141",43.98B,1.05,12.13,3.85,46.36
IFF,126.26,8.94,-11.73,104.86 - 152.95,"1,146,365",13.05B,0.54,36.61,3.34,134.85
KSS,52.11,13.45,-33.25,43.33 - 83.28,"4,309,914",8.42B,1.12,11.68,4.53,55.71
RHI,56.42,40.85,-20.74,51.90 - 73.28,"1,300,855",6.72B,1.42,15.03,3.8,61.7
AM,7.65,5.92,-54.63,6.55 - 18.82,"6,568,796",3.93B,1.24,19.33,0.4,11.9
