random_constant_ticker,ticker,Open,ROE,52-Week Change,Beta,PE Ratio,EPS,Avg. Volume,Beta_impute,Open_impute,52-Week Change_impute,Avg. Volume_impute,PE Ratio_impute,ROE_impute,EPS_impute
JWJ,LMT,388.9,346.67,-9.117924314,1.18,19.14,20.52,1056671,0,0,1,0,0,0,0
NNT,UNH,232.82,24.2,-10.96,0.7,17.61,13.31,3751852,0,0,0,0,0,0,0
BQU,AMGN,196.16,61.92,-4.08,0.8,15.42,12.6,3182452,0,0,0,0,0,0,0
CJP,AAPL,217.73,44.23199716,0.76,1.08,18.66,11.78,26373220,0,0,0,0,0,1,0
YTU,PH,180.36,25.57,-5.14,1.81,15.61,11.48,842249,0,0,0,0,0,0,0
DBK,IBM,142.56,47.98,-0.36537341,1.56,14.7,9.69,3778844,0,0,1,0,0,0,0
YZN,HON,167.04,39.55,4.38,1.23,17.58,9.45,3331347.099,0,0,0,1,0,0,0
BCX,SYK,217,33.17,23.66,1.01,17.9313211,9.35,1007400,0,0,0,0,1,0,0
XVK,TMO,295.41,12.84,23.52,1.14,33.75,8.76,1477690,0,0,0,0,0,0,0
MVW,DVN,27.24,12.98,-28.5,1.273010261,3.28,8.56,6752279,1,0,0,0,0,0,0
FXO,CB,158.68,7.21,14.36,0.6,19.44,8.16,1576322,0,0,0,0,0,0,0
JIG,MCD,209.3,44.43855476,31.46,0.33,27.24,7.61,2859987,0,0,0,0,0,1,0
ECK,KLAC,148.76,54.68,45.95,1.56,20.19,7.49,1561912,0,0,0,0,0,0,0
HQG,CINF,112.56,14.36,43.91,0.55,15.09,6.696249949,665549,0,0,0,0,0,0,1
UGT,C,68.96,9.26,-2.14,1.88,9.71,7.19,13820020,0,0,0,0,0,0,0
LTX,NUE,52.3,22.81,-17.29,1.189076822,7.46,7.1,2128777,1,0,0,0,0,0,0
XPZ,SRE,142.02,12.15,20.87,0.3,20.41,6.94,1356979,0,0,0,0,0,0,0
RGJ,PCAR,71.03,25.76,-0.24,1.39,10.45,6.79,1676344,0,0,0,0,0,0,0
WEI,EMN,74.91,15.63,-23.59,1.39,11.44,6.5,6071918.579,0,0,0,1,0,0,0
GWP,TGT,107.25,27.34,21.99,0.62,17.71,6.04,5479538,0,0,0,0,0,0,0
MTM,OMC,79.58,45.88,13.95,0.39,13.27,5.95,1795853,0,0,0,0,0,0,0
SQK,R,53.04,11.51,-29.2,2.06,11.6549929,5.91,511126,0,0,0,0,1,0,0
LTF,IR,124.03,20.84,19.84,1.17,21.47,5.77,1268131,0,0,0,0,0,0,0
MQA,GPC,98.02,21.84,-3.38,0.86,18.14,5.38,758092,0,0,0,0,0,0,0
NNM,V,176.17,34.84,19.29,1.210904121,33.85,5.21,6793855,1,0,0,0,0,0,0
XAS,KMB,131.54,1617.54,10,0.47,24.88,5.18,1718563,0,0,0,0,0,0,0
KTR,ECL,197.28,18.68,0.246786116,0.67,37.43,5.12,1185842,0,0,1,0,0,0,0
WYV,MSFT,135.83,42.41,20.42,0.97,26.93,8.040876384,24449374,0,0,0,0,0,0,1
DKB,DDS,66.35,7.86,-16.86,1.22,11.45813881,4.94,562103,0,0,0,0,1,0,0
ULL,WFC,48.46,12.09,-10.13,1.21,10.09,4.84,19720512,0,0,0,0,0,0,0
GHC,KSS,52.11,13.45,-33.25,1.12,11.68,4.53,1448401.098,0,0,0,1,0,0,0
GCA,CAH,47.5,22.01,-8.75,1.65,10.77,4.53,2853655,0,0,0,0,0,0,0
QVN,DUK,93.83,7.14,13.67,0.12,20.64,5.294364434,2708131,0,0,0,0,0,0,1
BYI,LSI,102.39,10.23,8.14,0.29,23.06,4.47,365914,0,0,0,0,0,0,0
QAL,SWK,144.94,8.16,-4.73,1.199758574,32.36,4.44,1026041,1,0,0,0,0,0,0
