Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url
15.79,15.84,15.96 x 3100,15.97 x 4000,15.62 - 16.01,13.49 - 18.52,"2,039,756","4,943,719",10.61B,0.72,26.62,0.60,2019-11-04 to 2019-11-08,0.55 (3.46%),2019-07-31,18.31,AES,http://finance.yahoo.com/quote/AES?p=AES
29.04,29.18,29.00 x 1800,29.01 x 1800,28.99 - 29.31,24.19 - 30.34,"1,326,882","2,997,801",10.84B,0.31,87.18,0.33,2019-10-30 to 2019-11-04,0.80 (2.75%),2019-10-30,29.77,NI,http://finance.yahoo.com/quote/NI?p=NI
1.6800,1.6700,1.6900 x 43500,1.7000 x 36900,1.6600 - 1.7200,1.2300 - 3.8200,"4,337,637","5,396,811",928.84M,2.32,29.82,0.0570,2019-11-05 to 2019-11-11,0.10 (5.95%),2019-08-22,1.91,ODP,http://finance.yahoo.com/quote/ODP?p=ODP
12.72,12.63,13.00 x 1100,13.01 x 1200,12.59 - 13.06,9.41 - 14.97,"3,233,667","4,589,215",4.61B,1.40,7.29,1.79,2019-10-15 to 2019-10-21,0.24 (1.85%),2019-08-29,16.77,MTG,http://finance.yahoo.com/quote/MTG?p=MTG
36.91,36.46,36.80 x 800,36.81 x 1400,36.35 - 37.01,33.97 - 46.47,"13,738,706","25,785,811",203.65B,0.43,17.01,2.16,2019-10-28 to 2019-11-01,1.44 (3.90%),2019-08-01,42.64,PFE,http://finance.yahoo.com/quote/PFE?p=PFE
150.32,148.76,151.18 x 800,151.24 x 800,148.06 - 151.92,80.65 - 155.33,"1,160,370","1,561,912",24.08B,1.56,20.19,7.49,2019-10-28 to 2019-11-01,3.00 (2.01%),2019-08-14,153.88,KLAC,http://finance.yahoo.com/quote/KLAC?p=KLAC
80.13,79.58,79.06 x 900,79.08 x 1300,78.90 - 79.76,65.85 - 85.05,"794,386","1,795,853",17.19B,0.39,13.27,5.95,2019-10-14 to 2019-10-18,2.60 (3.24%),2019-09-19,79.18,OMC,http://finance.yahoo.com/quote/OMC?p=OMC
75.47,74.91,74.39 x 1200,74.27 x 2900,74.00 - 75.92,61.22 - 100.51,"1,354,541","1,098,573",10.18B,1.39,11.44,6.50,2019-10-23 to 2019-10-28,2.48 (3.29%),2019-09-13,86.67,EMN,http://finance.yahoo.com/quote/EMN?p=EMN
143.67,142.56,142.34 x 1100,142.38 x 1300,142.27 - 143.59,105.94 - 154.36,"1,184,613","3,778,844",126.17B,1.56,14.70,9.69,2019-10-16,6.48 (4.51%),2019-08-08,153.05,IBM,http://finance.yahoo.com/quote/IBM?p=IBM
218.75,217.73,219.69 x 1200,219.70 x 1400,217.56 - 220.12,142.00 - 233.47,"17,962,208","26,373,220",993.18B,1.08,18.66,11.78,2019-10-30 to 2019-11-04,3.08 (1.41%),2019-08-09,224.24,AAPL,http://finance.yahoo.com/quote/AAPL?p=AAPL
209.81,209.30,207.44 x 800,207.45 x 900,207.33 - 209.86,156.56 - 221.93,"3,202,121","2,859,987",157.51B,0.33,27.24,7.61,2019-10-21 to 2019-10-25,4.64 (2.21%),2019-08-30,232.29,MCD,http://finance.yahoo.com/quote/MCD?p=MCD
72.73,72.76,72.42 x 800,72.43 x 900,72.19 - 73.23,42.24 - 81.88,"1,119,846","2,258,044",24.05B,0.52,47.47,1.53,2019-10-30 to 2019-11-04,0.60 (0.82%),2019-08-30,76.33,BLL,http://finance.yahoo.com/quote/BLL?p=BLL
107.99,107.25,107.09 x 1200,107.12 x 3200,106.30 - 107.94,60.15 - 110.94,"2,533,097","5,479,538",54.66B,0.62,17.71,6.04,2019-11-20,2.64 (2.44%),2019-08-20,110.15,TGT,http://finance.yahoo.com/quote/TGT?p=TGT
158.97,158.68,158.26 x 800,158.46 x 1000,157.68 - 159.00,119.54 - 162.19,"1,231,719","1,576,322",72.26B,0.60,19.44,8.16,2019-10-22,3.00 (1.89%),2019-09-19,160,CB,http://finance.yahoo.com/quote/CB?p=CB
63.35,63.40,63.93 x 1200,63.94 x 800,63.05 - 64.05,51.34 - 74.98,"885,310","2,661,749",21.78B,0.77,25.65,2.49,2019-10-29,2.28 (3.60%),2019-08-30,62.82,K,http://finance.yahoo.com/quote/K?p=K
117.43,116.54,115.45 x 800,115.46 x 1100,115.38 - 117.17,85.78 - 118.19,"5,331,307","5,652,846",328.71B,0.65,26.14,4.42,2019-11-14,2.12 (1.81%),2019-12-05,118.67,WMT,http://finance.yahoo.com/quote/WMT?p=WMT
51.77,51.53,51.79 x 1300,51.80 x 900,51.41 - 51.96,41.45 - 57.18,"1,567,003","3,281,522",38.34B,0.51,12.62,4.10,2019-10-24,1.08 (2.09%),2019-08-20,51.8,AFL,http://finance.yahoo.com/quote/AFL?p=AFL
53.33,53.04,53.59 x 1000,53.63 x 1100,52.90 - 54.31,44.80 - 78.33,"331,494","511,126",2.85B,2.06,9.06,5.91,2019-10-29,2.24 (4.09%),2019-08-16,62.63,R,http://finance.yahoo.com/quote/R?p=R
19.24,18.96,18.61 x 4000,18.62 x 1300,18.43 - 19.24,15.11 - 31.39,"6,223,079","7,081,280",6.97B,0.78,7.56,2.45,2019-11-18 to 2019-11-22,0.97 (5.04%),2019-10-08,19.84,GPS,http://finance.yahoo.com/quote/GPS?p=GPS
26.23,26.10,25.95 x 2200,25.96 x 2900,25.88 - 26.33,20.70 - 31.98,"5,056,038","10,663,955",20.72B,0.76,12.92,2.01,2019-12-04 to 2019-12-09,0.64 (2.44%),2019-08-14,26.96,KR,http://finance.yahoo.com/quote/KR?p=KR
84.27,83.91,83.36 x 1100,83.37 x 800,83.03 - 83.88,65.44 - 88.76,"2,049,877","4,935,190",147.26B,0.81,51.24,1.63,2019-10-15 to 2019-10-21,1.28 (1.52%),2019-07-12,94.32,ABT,http://finance.yahoo.com/quote/ABT?p=ABT
112.95,112.56,112.26 x 1000,112.37 x 800,111.98 - 112.97,71.01 - 115.56,"289,220","665,549",18.38B,0.55,15.09,7.45,2019-10-23 to 2019-10-28,2.24 (1.98%),2019-09-17,102.75,CINF,http://finance.yahoo.com/quote/CINF?p=CINF
